city,zip_code,state,state_name,country
SAN,94577,CA,CALIFORNIA,US
MISHAWAKA,46530,IN,INDIANA,US
CHARLOTTESVILLE,22901,VA,VIRGINIA,US
CENTERVILLE,45440,OH,OHIO,US
WOODLANDS,77385,TX,TEXAS,US
MAUI,96732,HI,HAWAII,US
LYNNWOOD,98037,WA,WASHINGTON,US
KALAMAZOO,49006,MI,MICHIGAN,US
MOBILE,36606,AL,ALABAMA,US
PERRYSBURG,43551,OH,OHIO,US
ROCHESTER,14620,NY,NEW YORK,US
NEW,6053,CT,CONNECTICUT,US
FLORENCE,41042,KY,KENTUCKY,US
PLEASANT,53158,WI,WISCONSIN,US
PRINCETON,8648,NJ,NEW JERSEY,US
HAWAII,96825,HI,HAWAII,US
WICHITA,67207,KS,KANSAS,US
LAFAYETTE,70508,LA,LOUISIANA,US
TORRANCE,90505,CA,CALIFORNIA,US
WOODLAND,91367,CA,CALIFORNIA,US
APEX,27523,NC,NORTH CAROLINA,US
TULSA,74133,OK,OKLAHOMA,US
CYPRESS,77433,TX,TEXAS,US
MENOMONEE,53051,WI,WISCONSIN,US
EL,92243,CA,CALIFORNIA,US
ALLENTOWN,18106,PA,PENNSYLVANIA,US
NEW,53151,WI,WISCONSIN,US
TETERBORO,7608,NJ,NEW JERSEY,US
OCEANSIDE,11572,NY,NEW YORK,US
BELLINGHAM,98226,WA,WASHINGTON,US
PEARLAND,77584,TX,TEXAS,US
GRAND,54913,WI,WISCONSIN,US
REDMOND,98052,WA,WASHINGTON,US
BOSTON,44236,OH,OHIO,US
S,46237,IN,INDIANA,US
HUMBLE,77338,TX,TEXAS,US
MIAMI,33144,FL,FLORIDA,US
COLUMBIA,29210,SC,SOUTH CAROLINA,US
S,32839,FL,FLORIDA,US
FLEMINGTON,8822,NJ,NEW JERSEY,US
LA,68128,NE,NEBRASKA,US
LOUISVILLE,40218,KY,KENTUCKY,US
VISTA,92081,CA,CALIFORNIA,US
NW,43064,OH,OHIO,US
HANFORD,93230,CA,CALIFORNIA,US
WESLEY,33559,FL,FLORIDA,US
EUREKA,95501,CA,CALIFORNIA,US
GARDEN,92843,CA,CALIFORNIA,US
W,33625,FL,FLORIDA,US
DALLAS,75251,TX,TEXAS,US
GREAT,95119,CA,CALIFORNIA,US
N,64155,MO,MISSOURI,US
CARSON,89705,NV,NEVADA,US
WOODBURY,55125,MN,MINNESOTA,US
ELK,95757,CA,CALIFORNIA,US
SANTA,93454,CA,CALIFORNIA,US
EAST,48823,MI,MICHIGAN,US
BONNEY,98391,WA,WASHINGTON,US
TRAVERSE,49686,MI,MICHIGAN,US
SIMI,93065,CA,CALIFORNIA,US
MCKINNEY,75071,TX,TEXAS,US
LINCOLN,68512,NE,NEBRASKA,US
CENTRAL,97502,OR,OREGON,US
SANTA,95050,CA,CALIFORNIA,US
W,32244,FL,FLORIDA,US
WOODSTOCK,30188,GA,GEORGIA,US
UKIAH,95482,CA,CALIFORNIA,US
N,99218,WA,WASHINGTON,US
SILVERDALE,98383,WA,WASHINGTON,US
LOS,90039,CA,CALIFORNIA,US
SAND,93955,CA,CALIFORNIA,US
EASTVALE,91752,CA,CALIFORNIA,US
MONTEREY,91755,CA,CALIFORNIA,US
MT,29466,SC,SOUTH CAROLINA,US
VALLEJO,94591,CA,CALIFORNIA,US
SW,89052,NV,NEVADA,US
PFLUGERVILLE,78660,TX,TEXAS,US
CORAL,33076,FL,FLORIDA,US
DAVENPORT,52807,IA,IOWA,US
OWINGS,21117,MD,MARYLAND,US
REDDING,96003,CA,CALIFORNIA,US
WEBSTER,77598,TX,TEXAS,US
EVANSVILLE,47715,IN,INDIANA,US
N,33181,FL,FLORIDA,US
MOORESVILLE,28117,NC,NORTH CAROLINA,US
BAYONNE,7002,NJ,NEW JERSEY,US
FAIRBANKS,99701,AK,ALASKA,US
MERIDIAN,83646,ID,IDAHO,US
ST,56301,MN,MINNESOTA,US
OKLAHOMA,73114,OK,OKLAHOMA,US
LOVES,61111,IL,ILLINOIS,US
CLOVIS,93612,CA,CALIFORNIA,US
SHARPSBURG,30277,GA,GEORGIA,US
EAGAN,55121,MN,MINNESOTA,US
BRADENTON,34212,FL,FLORIDA,US
RIDGELAND,39157,MS,MISSISSIPPI,US
E,6333,CT,CONNECTICUT,US
SURPRISE,85388,AZ,ARIZONA,US
IDAHO,83401,ID,IDAHO,US
BISMARCK,58503,ND,NORTH DAKOTA,US
SARATOGA,84045,UT,UTAH,US
CHAMPAIGN,61820,IL,ILLINOIS,US
PLAINFIELD,60586,IL,ILLINOIS,US
DALLAS,30157,GA,GEORGIA,US
KONA,96740,HI,HAWAII,US
NOVATO,94945,CA,CALIFORNIA,US
CHERRY,8002,NJ,NEW JERSEY,US
MERCED,95340,CA,CALIFORNIA,US
MIDLAND,48642,MI,MICHIGAN,US
MOUNTAIN,94043,CA,CALIFORNIA,US
SAN,94103,CA,CALIFORNIA,US
TWIN,83301,ID,IDAHO,US
LIVERMORE,94551,CA,CALIFORNIA,US
FOSTER,94404,CA,CALIFORNIA,US
SAN,95112,CA,CALIFORNIA,US
SANTA,95060,CA,CALIFORNIA,US
EUGENE,97408,OR,OREGON,US
LANTANA,33462,FL,FLORIDA,US
MIAMI,33014,FL,FLORIDA,US
ALTAMONTE,32714,FL,FLORIDA,US
E,32792,FL,FLORIDA,US
GWINNETT,30096,GA,GEORGIA,US
PERIMETER,30328,GA,GEORGIA,US
TOWN,30144,GA,GEORGIA,US
PORTLAND,97230,OR,OREGON,US
NORFOLK,23502,VA,VIRGINIA,US
GLEN,21060,MD,MARYLAND,US
FAIRFAX,22030,VA,VIRGINIA,US
W,23060,VA,VIRGINIA,US
NESCONSET,11767,NY,NEW YORK,US
WHITE,21220,MD,MARYLAND,US
DANVILLE,94526,CA,CALIFORNIA,US
GAITHERSBURG,20879,MD,MARYLAND,US
BELTSVILLE,20705,MD,MARYLAND,US
STERLING,20164,VA,VIRGINIA,US
HAZLET,7730,NJ,NEW JERSEY,US
MANASSAS,20109,VA,VIRGINIA,US
WESTBURY,11590,NY,NEW YORK,US
NEWINGTON,22153,VA,VIRGINIA,US
HOLBROOK,11741,NY,NEW YORK,US
PENTAGON,22202,VA,VIRGINIA,US
MELVILLE,11747,NY,NEW YORK,US
HARRISONBURG,22801,VA,VIRGINIA,US
WINCHESTER,22602,VA,VIRGINIA,US
COMMACK,11725,NY,NEW YORK,US
NEW,10805,NY,NEW YORK,US
QUEENS,11106,NY,NEW YORK,US
EAST,7936,NJ,NEW JERSEY,US
KING,19406,PA,PENNSYLVANIA,US
CHRISTIANA,19702,DE,DELAWARE,US
NEWPORT,23602,VA,VIRGINIA,US
MONTGOMERYVILLE,19454,PA,PENNSYLVANIA,US
DURHAM,27705,NC,NORTH CAROLINA,US
RENO,89502,NV,NEVADA,US
LAGUNA,92677,CA,CALIFORNIA,US
LAGUNA,92677,CA,CALIFORNIA,US
ROSEVILLE,95678,CA,CALIFORNIA,US
DANVERS,1923,MA,MASSACHUSETTS,US
WEST,1089,MA,MASSACHUSETTS,US
AVON,2322,MA,MASSACHUSETTS,US
BROOKFIELD,6804,CT,CONNECTICUT,US
NANUET,10954,NY,NEW YORK,US
CLIFTON,7014,NJ,NEW JERSEY,US
NASHUA,3060,NH,NEW HAMPSHIRE,US
WALTHAM,2451,MA,MASSACHUSETTS,US
FRESNO,93722,CA,CALIFORNIA,US
LAWRENCE,11559,NY,NEW YORK,US
MILFORD,6460,CT,CONNECTICUT,US
WATERBURY,6705,CT,CONNECTICUT,US
COLCHESTER,5446,VT,VERMONT,US
WHARTON,7885,NJ,NEW JERSEY,US
STATEN,10314,NY,NEW YORK,US
LANCASTER,17601,PA,PENNSYLVANIA,US
BROOKLYN,11232,NY,NEW YORK,US
DEDHAM,2026,MA,MASSACHUSETTS,US
UNION,7083,NJ,NEW JERSEY,US
YONKERS,10710,NY,NEW YORK,US
BRIDGEWATER,8807,NJ,NEW JERSEY,US
EDISON,8817,NJ,NEW JERSEY,US
NORWALK,6854,CT,CONNECTICUT,US
ARUNDEL,21076,MD,MARYLAND,US
PORT,10573,NY,NEW YORK,US
HARRISBURG,17112,PA,PENNSYLVANIA,US
CRANBERRY,16066,PA,PENNSYLVANIA,US
OCEAN,7712,NJ,NEW JERSEY,US
FREDERICK,21704,MD,MARYLAND,US
ROBINSON,15205,PA,PENNSYLVANIA,US
EVERETT,2149,MA,MASSACHUSETTS,US
CHANTILLY,20151,VA,VIRGINIA,US
CAROLINA,924,PR,PUERTO RICO,US
CLEARWATER,33759,FL,FLORIDA,US
LEESBURG,20176,VA,VIRGINIA,US
MYRTLE,29577,SC,SOUTH CAROLINA,US
GREENSBORO,27407,NC,NORTH CAROLINA,US
FREDERICKSBURG,22407,VA,VIRGINIA,US
COMMERCE,48390,MI,MICHIGAN,US
NAPERVILLE,60564,IL,ILLINOIS,US
AVON,44011,OH,OHIO,US
MAYFIELD,44124,OH,OHIO,US
BOCA,33487,FL,FLORIDA,US
CASTLETON,46250,IN,INDIANA,US
FORTUNE,46268,IN,INDIANA,US
GLENVIEW,60026,IL,ILLINOIS,US
LENEXA,66215,KS,KANSAS,US
FORT,33907,FL,FLORIDA,US
NE,38016,TN,TENNESSEE,US
SE,38125,TN,TENNESSEE,US
NAPLES,34109,FL,FLORIDA,US
HUNTSVILLE,35801,AL,ALABAMA,US
E,32246,FL,FLORIDA,US
BRANDON,33511,FL,FLORIDA,US
CHARLOTTE,28217,NC,NORTH CAROLINA,US
CHARLESTON,29414,SC,SOUTH CAROLINA,US
WINSTON,27103,NC,NORTH CAROLINA,US
HOOVER,35244,AL,ALABAMA,US
E,959,PR,PUERTO RICO,US
W,961,PR,PUERTO RICO,US
CAGUAS,725,PR,PUERTO RICO,US
MALL,30519,GA,GEORGIA,US
MATTHEWS,28105,NC,NORTH CAROLINA,US
S,63128,MO,MISSOURI,US
OVERLAND,66213,KS,KANSAS,US
MERRILLVILLE,46410,IN,INDIANA,US
BLOOMINGDALE,60108,IL,ILLINOIS,US
COON,55448,MN,MINNESOTA,US
INDEPENDENCE,64055,MO,MISSOURI,US
LAKESIDE,48315,MI,MICHIGAN,US
KANSAS,64111,MO,MISSOURI,US
AUBURN,48326,MI,MICHIGAN,US
ST,55416,MN,MINNESOTA,US
LAKE,60047,IL,ILLINOIS,US
SPRINGDALE,45246,OH,OHIO,US
STOCKTON,95210,CA,CALIFORNIA,US
LINCOLN,60614,IL,ILLINOIS,US
ST,63376,MO,MISSOURI,US
NILES,60714,IL,ILLINOIS,US
DEERFIELD,45249,OH,OHIO,US
BRENTWOOD,37027,TN,TENNESSEE,US
SCHAUMBURG,60173,IL,ILLINOIS,US
OAK,60523,IL,ILLINOIS,US
MIDDLEBELT,48150,MI,MICHIGAN,US
HAGGERTY,48152,MI,MICHIGAN,US
MADISON,48071,MI,MICHIGAN,US
ROSEVILLE,48066,MI,MICHIGAN,US
MORENA,92117,CA,CALIFORNIA,US
SANTEE,92071,CA,CALIFORNIA,US
TUCSON,85712,AZ,ARIZONA,US
SANTA,95407,CA,CALIFORNIA,US
NORWALK,90650,CA,CALIFORNIA,US
FOUNTAIN,92708,CA,CALIFORNIA,US
AZUSA,91702,CA,CALIFORNIA,US
FULLERTON,92832,CA,CALIFORNIA,US
OXNARD,93036,CA,CALIFORNIA,US
S,94080,CA,CALIFORNIA,US
EL,94080,CA,CALIFORNIA,US
S,94080,CA,CALIFORNIA,US
SUNNYVALE,94086,CA,CALIFORNIA,US
SIGNAL,90755,CA,CALIFORNIA,US
SCOTTSDALE,85260,AZ,ARIZONA,US
ALHAMBRA,91803,CA,CALIFORNIA,US
SAN,92675,CA,CALIFORNIA,US
NW,85741,AZ,ARIZONA,US
CORONA,92879,CA,CALIFORNIA,US
TEMPE,85284,AZ,ARIZONA,US
NORTHRIDGE,91324,CA,CALIFORNIA,US
RANCHO,95742,CA,CALIFORNIA,US
AURORA,80012,CO,COLORADO,US
WESTMINSTER,80031,CO,COLORADO,US
PALM,92211,CA,CALIFORNIA,US
SW,80123,CO,COLORADO,US
YORBA,92887,CA,CALIFORNIA,US
SANTA,91387,CA,CALIFORNIA,US
CARMEL,92128,CA,CALIFORNIA,US
FAIRFIELD,94534,CA,CALIFORNIA,US
IRVINE,92618,CA,CALIFORNIA,US
MORENO,92553,CA,CALIFORNIA,US
RANCHO,91910,CA,CALIFORNIA,US
CARLSBAD,92011,CA,CALIFORNIA,US
SACRAMENTO,95823,CA,CALIFORNIA,US
THOMAS,85008,AZ,ARIZONA,US
PRESCOTT,86301,AZ,ARIZONA,US
DOUGLAS,80124,CO,COLORADO,US
LA,91942,CA,CALIFORNIA,US
ALMADEN,95118,CA,CALIFORNIA,US
CAL,95815,CA,CALIFORNIA,US
SALINAS,93907,CA,CALIFORNIA,US
CHINO,91709,CA,CALIFORNIA,US
GOLETA,93117,CA,CALIFORNIA,US
SAN,92408,CA,CALIFORNIA,US
CULVER,90292,CA,CALIFORNIA,US
VAN,91411,CA,CALIFORNIA,US
SUPERIOR,80027,CO,COLORADO,US
GILBERT,85233,AZ,ARIZONA,US
RICHMOND,94804,CA,CALIFORNIA,US
SE,92102,CA,CALIFORNIA,US
OREM,84097,UT,UTAH,US
WAIPIO,96797,HI,HAWAII,US
KENNEWICK,99336,WA,WASHINGTON,US
SANDY,84070,UT,UTAH,US
MISSION,92108,CA,CALIFORNIA,US
FORT,76132,TX,TEXAS,US
N,85027,AZ,ARIZONA,US
TEMECULA,92591,CA,CALIFORNIA,US
LAS,89106,NV,NEVADA,US
HAWTHORNE,90250,CA,CALIFORNIA,US
HAWTHORNE,90250,CA,CALIFORNIA,US
COMMERCE,90040,CA,CALIFORNIA,US
SAN,92111,CA,CALIFORNIA,US
MORROW,30260,GA,GEORGIA,US
BEDFORD,60629,IL,ILLINOIS,US
TUKWILA,98188,WA,WASHINGTON,US
FEDERAL,98003,WA,WASHINGTON,US
ESTERO,33913,FL,FLORIDA,US
WEST,84119,UT,UTAH,US
ROYAL,33411,FL,FLORIDA,US
GIG,98332,WA,WASHINGTON,US
STRONGSVILLE,44136,OH,OHIO,US
POTOMAC,22192,VA,VIRGINIA,US
FONTANA,92336,CA,CALIFORNIA,US
GRAFTON,53024,WI,WISCONSIN,US
THORNTON,80023,CO,COLORADO,US
NE,99508,AK,ALASKA,US
W,37209,TN,TENNESSEE,US
CUMBERLAND,30339,GA,GEORGIA,US
COLUMBUS,43240,OH,OHIO,US
HELENA,59602,MT,MONTANA,US
NE,40241,KY,KENTUCKY,US
WILMINGTON,28405,NC,NORTH CAROLINA,US
DUNCANVILLE,75137,TX,TEXAS,US
GYPSUM,81637,CO,COLORADO,US
LA,92253,CA,CALIFORNIA,US
SEQUIM,98382,WA,WASHINGTON,US
TUMWATER,98512,WA,WASHINGTON,US
KAUAI,96766,HI,HAWAII,US
S,78749,TX,TEXAS,US
MARYSVILLE,98271,WA,WASHINGTON,US
SW,93313,CA,CALIFORNIA,US
SE,85295,AZ,ARIZONA,US
RALEIGH,27609,NC,NORTH CAROLINA,US
SPARKS,89436,NV,NEVADA,US
ORLAND,60467,IL,ILLINOIS,US
MAPLE,55369,MN,MINNESOTA,US
HOMESTEAD,15120,PA,PENNSYLVANIA,US
DENVER,80223,CO,COLORADO,US
ORLANDO,32837,FL,FLORIDA,US
MINNEAPOLIS,55413,MN,MINNESOTA,US
BURBANK,91605,CA,CALIFORNIA,US
DALLAS,75231,TX,TEXAS,US
N,93720,CA,CALIFORNIA,US
TRACY,95304,CA,CALIFORNIA,US
ROHNERT,94928,CA,CALIFORNIA,US
PUYALLUP,98373,WA,WASHINGTON,US
MODESTO,95356,CA,CALIFORNIA,US
BURLINGTON,98233,WA,WASHINGTON,US
CONCORD,94520,CA,CALIFORNIA,US
E,75074,TX,TEXAS,US
SE,87123,NM,NEW MEXICO,US
ARLINGTON,76014,TX,TEXAS,US
SOUTHLAKE,76092,TX,TEXAS,US
MISSOULA,59808,MT,MONTANA,US
SPOKANE,99212,WA,WASHINGTON,US
ST,84790,UT,UTAH,US
HENDERSON,89014,NV,NEVADA,US
GLENDALE,85308,AZ,ARIZONA,US
WILLOWBROOK,77064,TX,TEXAS,US
ARVADA,80002,CO,COLORADO,US
BURBANK,91506,CA,CALIFORNIA,US
RANCHO,91730,CA,CALIFORNIA,US
CITY,91748,CA,CALIFORNIA,US
SALEM,97301,OR,OREGON,US
BUNKER,77055,TX,TEXAS,US
AUSTIN,78759,TX,TEXAS,US
ALBANY,97322,OR,OREGON,US
LEWISVILLE,75067,TX,TEXAS,US
W,75093,TX,TEXAS,US
SUMMERLIN,89144,NV,NEVADA,US
MONTCLAIR,91763,CA,CALIFORNIA,US
IWILEI,96817,HI,HAWAII,US
BAKERSFIELD,93308,CA,CALIFORNIA,US
NW,78249,TX,TEXAS,US
BILLINGS,59102,MT,MONTANA,US
AVONDALE,85392,AZ,ARIZONA,US
HILLSBORO,97124,OR,OREGON,US
SONTERRA,78232,TX,TEXAS,US
VACAVILLE,95687,CA,CALIFORNIA,US
LEHI,84043,UT,UTAH,US
NAMPA,83687,ID,IDAHO,US
BOUNTIFUL,84010,UT,UTAH,US
CHANDLER,85226,AZ,ARIZONA,US
CENTENNIAL,89131,NV,NEVADA,US
CAVE,85050,AZ,ARIZONA,US
BRICK,8723,NJ,NEW JERSEY,US
LACEY,98516,WA,WASHINGTON,US
SAN,93405,CA,CALIFORNIA,US
PEMBROKE,33027,FL,FLORIDA,US
ALPHARETTA,30004,GA,GEORGIA,US
WYOMING,49418,MI,MICHIGAN,US
KALISPELL,59901,MT,MONTANA,US
LAKE,92532,CA,CALIFORNIA,US
WOODINVILLE,98072,WA,WASHINGTON,US
CYPRESS,90720,CA,CALIFORNIA,US
MT,8054,NJ,NEW JERSEY,US
GILROY,95020,CA,CALIFORNIA,US
BOISE,83709,ID,IDAHO,US
LANCASTER,93534,CA,CALIFORNIA,US
MURRAY,84107,UT,UTAH,US
FOLSOM,95630,CA,CALIFORNIA,US
WILSONVILLE,97070,OR,OREGON,US
FIFE,98424,WA,WASHINGTON,US
EL,79925,TX,TEXAS,US
INGLEWOOD,90303,CA,CALIFORNIA,US
SOUTH,84405,UT,UTAH,US
CITRUS,95621,CA,CALIFORNIA,US
VANCOUVER,98665,WA,WASHINGTON,US
COEUR,83815,ID,IDAHO,US
LAKE,60156,IL,ILLINOIS,US
POWAY,92064,CA,CALIFORNIA,US
LA,90631,CA,CALIFORNIA,US
FREMONT,94538,CA,CALIFORNIA,US
MT,60056,IL,ILLINOIS,US
ENFIELD,6082,CT,CONNECTICUT,US
CHULA,91911,CA,CALIFORNIA,US
TURLOCK,95380,CA,CALIFORNIA,US
EDEN,55344,MN,MINNESOTA,US
GRAND,49512,MI,MICHIGAN,US
RIVERHEAD,11901,NY,NEW YORK,US
GREEN,48116,MI,MICHIGAN,US
WEST,50266,IA,IOWA,US
KIRKLAND,98033,WA,WASHINGTON,US
HAYWARD,94541,CA,CALIFORNIA,US
PHOENIX,85017,AZ,ARIZONA,US
SAN,95121,CA,CALIFORNIA,US
POMPANO,33064,FL,FLORIDA,US
SACRAMENTO,95821,CA,CALIFORNIA,US
ALOHA,97006,OR,OREGON,US
DAVIE,33324,FL,FLORIDA,US
PALM,33403,FL,FLORIDA,US
WESTMINSTER,92683,CA,CALIFORNIA,US
ONTARIO,91761,CA,CALIFORNIA,US
TACOMA,98409,WA,WASHINGTON,US
BOZEMAN,59718,MT,MONTANA,US
CLACKAMAS,97015,OR,OREGON,US
